date,temperature,humidity,luminosity
2019-11-27 15:43:17.622,26.8,27.3,88
2019-11-27 15:43:19.895,26.8,27.2,89
2019-11-27 15:43:22.169,26.8,27.2,90
2019-11-27 15:43:24.442,26.9,27.2,89
2019-11-27 15:43:26.715,26.8,27.1,87
2019-11-27 15:43:28.984,26.8,27.1,86
2019-11-27 15:43:31.258,26.8,27.1,87
2019-11-27 15:43:33.531,26.9,27.1,88
2019-11-27 15:43:35.804,26.8,27.1,88
2019-11-27 15:43:38.077,26.8,27.1,89
2019-11-27 15:43:40.350,26.8,27.0,88
2019-11-27 15:43:42.619,26.8,27.0,88
2019-11-27 15:43:44.892,26.9,27.0,90
2019-11-27 15:43:47.166,26.8,27.0,88
2019-11-27 15:43:49.439,26.8,27.0,88
2019-11-27 15:43:51.711,26.8,27.0,89
2019-11-27 15:43:53.985,26.8,27.0,89
2019-11-27 15:43:56.254,26.9,27.0,88
2019-11-27 15:43:58.528,26.8,27.0,88
2019-11-27 15:44:00.801,26.8,27.0,88
2019-11-27 15:44:03.074,26.8,27.0,88
2019-11-27 15:44:05.348,26.8,27.0,88
2019-11-27 15:44:07.621,26.8,27.1,88
2019-11-27 15:44:09.889,26.8,27.1,89
2019-11-27 15:44:12.162,26.8,27.1,88
2019-11-27 15:44:14.437,26.8,27.1,88
2019-11-27 15:44:16.710,26.8,27.1,88
2019-11-27 15:44:18.981,26.8,27.0,88
2019-11-27 15:44:21.256,26.8,27.0,88
2019-11-27 15:44:23.528,26.9,27.0,88
2019-11-27 15:44:25.798,26.9,27.0,88
2019-11-27 15:44:28.071,26.9,27.0,88
2019-11-27 15:44:30.345,26.8,27.0,88
2019-11-27 15:44:32.618,26.8,27.0,89
2019-11-27 15:44:34.890,26.8,27.0,88
2019-11-27 15:44:37.164,26.8,27.0,85
2019-11-27 15:44:39.434,26.8,27.0,88
2019-11-27 15:44:41.707,26.8,27.0,82
2019-11-27 15:44:43.979,26.8,27.0,87
2019-11-27 15:44:46.254,26.8,27.1,88
2019-11-27 15:44:48.527,26.8,27.1,88
2019-11-27 15:44:50.800,26.8,27.1,88
2019-11-27 15:44:53.069,26.8,27.1,87
2019-11-27 15:44:55.342,26.9,27.1,88
2019-11-27 15:44:57.615,26.9,27.1,88
2019-11-27 15:44:59.888,26.8,27.1,88
2019-11-27 15:45:02.161,26.8,27.1,87
2019-11-27 15:45:04.435,26.8,27.1,87
2019-11-27 15:45:06.708,26.9,27.1,88
2019-11-27 15:45:08.977,26.8,27.1,88
2019-11-27 15:45:11.250,26.8,27.1,88
2019-11-27 15:45:13.524,26.8,27.1,87
2019-11-27 15:45:15.797,26.9,27.1,88
2019-11-27 15:45:18.070,26.8,27.1,88
2019-11-27 15:45:20.344,26.8,27.1,88
2019-11-27 15:45:22.616,26.8,27.1,88
2019-11-27 15:45:24.885,26.9,27.1,88
2019-11-27 15:45:27.157,26.9,27.1,88
2019-11-27 15:45:29.432,26.9,27.1,88
2019-11-27 15:45:31.705,26.9,27.1,89
2019-11-27 15:45:33.978,26.9,27.1,88
2019-11-27 15:45:36.252,26.9,27.1,88
2019-11-27 15:45:38.525,26.9,27.1,88
2019-11-27 15:45:40.794,26.9,27.1,88
2019-11-27 15:45:43.067,26.9,27.1,88
2019-11-27 15:45:45.341,26.9,27.1,88
2019-11-27 15:45:47.614,26.9,27.0,88
2019-11-27 15:45:49.887,26.9,27.0,88
2019-11-27 15:45:52.160,26.9,27.0,88
2019-11-27 15:45:54.434,26.9,27.0,88
2019-11-27 15:45:56.702,26.9,27.0,88
2019-11-27 15:45:58.975,26.9,27.0,87
2019-11-27 15:46:01.249,26.9,27.0,87
2019-11-27 15:46:03.522,26.9,27.0,88
2019-11-27 15:46:05.794,26.9,27.0,88
2019-11-27 15:46:08.067,26.9,27.0,88
2019-11-27 15:46:10.341,26.9,26.9,88
2019-11-27 15:46:12.610,26.9,26.9,88
2019-11-27 15:46:14.882,26.9,26.9,88
2019-11-27 15:46:17.156,26.9,26.9,88
2019-11-27 15:46:19.430,26.9,26.9,88
2019-11-27 15:46:21.703,26.9,26.9,89
2019-11-27 15:46:23.976,26.9,26.9,88
2019-11-27 15:46:26.245,26.8,26.9,89
2019-11-27 15:46:28.518,26.8,27.0,89
2019-11-27 15:46:30.791,26.8,27.0,88
2019-11-27 15:46:33.064,26.8,27.0,89
2019-11-27 15:46:35.338,26.8,27.0,89
2019-11-27 15:46:37.611,26.8,27.0,89
2019-11-27 15:46:39.880,26.8,27.1,89
2019-11-27 15:46:42.153,26.8,27.1,89
2019-11-27 15:46:44.427,26.8,27.1,90
2019-11-27 15:46:46.700,26.8,27.1,89
2019-11-27 15:46:48.973,26.9,27.1,89
2019-11-27 15:46:51.247,26.8,27.1,89
2019-11-27 15:46:53.519,26.9,27.1,90
2019-11-27 15:46:55.789,26.8,27.1,89
2019-11-27 15:46:58.062,26.8,27.0,89
2019-11-27 15:47:00.335,26.9,27.1,89
2019-11-27 15:47:02.608,26.8,27.0,88
2019-11-27 15:47:04.881,26.9,27.0,88
2019-11-27 15:47:07.156,26.9,27.0,89
2019-11-27 15:47:09.429,26.8,27.0,88
2019-11-27 15:47:11.698,26.9,27.0,89
2019-11-27 15:47:13.971,26.9,27.0,89
2019-11-27 15:47:16.245,26.8,27.0,89
2019-11-27 15:47:18.518,26.8,27.0,90
2019-11-27 15:47:20.791,26.8,26.9,90
2019-11-27 15:47:23.065,26.8,26.9,89
2019-11-27 15:47:25.334,26.9,26.9,90
2019-11-27 15:47:27.607,26.9,26.9,89
2019-11-27 15:47:29.880,26.9,26.9,90
2019-11-27 15:47:32.153,26.8,27.0,90
2019-11-27 15:47:34.426,26.8,27.0,90
2019-11-27 15:47:36.699,26.8,27.1,90
2019-11-27 15:47:38.968,26.8,27.1,90
2019-11-27 15:47:41.242,26.8,27.1,90
2019-11-27 15:47:43.515,26.8,27.1,89
2019-11-27 15:47:45.788,26.9,27.1,90
2019-11-27 15:47:48.060,26.8,27.1,89
2019-11-27 15:47:50.335,26.9,27.1,90
2019-11-27 15:47:52.608,26.9,27.1,89
2019-11-27 15:47:54.877,26.8,27.0,90
2019-11-27 15:47:57.149,26.9,27.0,90
2019-11-27 15:47:59.424,26.8,27.0,90
2019-11-27 15:48:01.697,26.8,27.0,89
2019-11-27 15:48:03.970,26.8,27.0,90
2019-11-27 15:48:06.242,26.8,27.0,89
2019-11-27 15:48:08.512,26.9,27.0,88
2019-11-27 15:48:10.785,26.8,27.0,88
2019-11-27 15:48:13.057,26.8,27.0,88
2019-11-27 15:48:15.332,26.9,27.0,89
2019-11-27 15:48:17.605,26.8,27.0,88
2019-11-27 15:48:19.877,26.8,27.1,88
2019-11-27 15:48:22.148,26.8,27.1,89
2019-11-27 15:48:24.421,26.9,27.1,88
2019-11-27 15:48:26.694,26.8,27.1,88
2019-11-27 15:48:28.968,26.8,27.1,88
2019-11-27 15:48:31.240,26.9,27.1,89
2019-11-27 15:48:33.513,26.8,27.1,88
2019-11-27 15:48:35.786,26.8,27.1,88
2019-11-27 15:48:38.056,26.9,27.1,90
2019-11-27 15:48:40.328,26.8,27.1,89
2019-11-27 15:48:42.602,26.8,27.1,89
2019-11-27 15:48:44.875,26.9,27.1,88
2019-11-27 15:48:47.149,26.8,27.1,89
2019-11-27 15:48:49.422,26.9,27.1,88
2019-11-27 15:48:51.694,26.8,27.1,88
2019-11-27 15:48:53.965,26.8,27.1,88
2019-11-27 15:48:56.238,26.9,27.1,88
2019-11-27 15:48:58.510,26.8,27.1,87
2019-11-27 15:49:00.784,26.8,27.1,87
2019-11-27 15:49:03.058,26.8,27.0,88
2019-11-27 15:49:05.331,26.8,27.0,88
2019-11-27 15:49:07.602,26.8,27.0,89
2019-11-27 15:49:09.872,26.8,27.0,89
2019-11-27 15:49:12.146,26.8,27.0,89
2019-11-27 15:49:14.419,26.8,27.0,88
2019-11-27 15:49:16.692,26.9,27.0,88
2019-11-27 15:49:18.965,26.8,26.9,88
2019-11-27 15:49:21.239,26.8,26.9,87
2019-11-27 15:49:23.508,26.8,26.9,87
2019-11-27 15:49:25.781,26.8,27.0,87
2019-11-27 15:49:28.054,26.7,27.0,87
2019-11-27 15:49:30.328,26.7,27.0,88
2019-11-27 15:49:32.601,26.7,27.0,89
2019-11-27 15:49:34.874,26.7,27.1,90
2019-11-27 15:49:37.148,26.8,27.1,88
